send_time_ns,exit_time_ns,sender_to_A_s,service_time_A_s,A_to_B_s,service_time_B_s,B_to_sink_s,end_to_end_s,threads_A,threads_B,lambda,queue_len_A,queue_len_B
12452466515844604,12452466599156490,0.0201636,0.0200649,0.0604844,0.0500663,0.00266386,0.0833119,13,30,376.364,1,2
12452466522922262,12452466599173792,0.0201946,0.0200686,0.0534332,0.0500621,0.00262373,0.0762515,13,30,376.364,1,2
12452466525010127,12452466599183080,0.020176,0.0200647,0.0513951,0.0500684,0.00260185,0.074173,13,30,376.364,1,2
12452466534089058,12452466625624044,0.0201678,0.0200644,0.0704517,0.0500709,0.000915472,0.091535,13,30,376.514,1,2
12452466546167580,12452466625642579,0.0201706,0.0200681,0.0584326,0.0500656,0.000871801,0.079475,13,30,376.514,1,2
12452466550245968,12452466625651495,0.0201707,0.0200699,0.0544729,0.0500642,0.000761905,0.0754055,13,30,376.514,1,2
12452466574335064,12452466672116974,0.0202007,0.0200714,0.0504376,0.0500689,0.0271437,0.0977819,13,30,406.825,1,2
12452466577413953,12452466672134026,0.0202008,0.0200654,0.0515145,0.0500683,0.0230048,0.0947201,13,30,406.825,1,2
12452466579492160,12452466672143273,0.0201723,0.0200705,0.0536003,0.0500695,0.0188785,0.0926511,13,30,406.825,1,2
12452466591569610,12452466672153092,0.0201611,0.020065,0.0517795,0.0500671,0.00864279,0.0805835,13,30,406.825,1,2
12452466594646905,12452466701296841,0.0201629,0.0200691,0.0607824,0.0500688,0.0257046,0.10665,13,30,326.462,1,2
12452466595725182,12452466701315726,0.0201556,0.0200684,0.0597528,0.0500648,0.0256821,0.105591,13,30,326.462,1,2
12452466598802848,12452466701324633,0.0201667,0.0200706,0.056701,0.0500668,0.0256541,0.102522,13,30,326.462,1,2
12452466602881386,12452466701333079,0.0201849,0.0200704,0.0526336,0.0500659,0.0256331,0.0984517,13,30,326.462,1,2
12452466604960876,12452466701344149,0.0201837,0.0200722,0.0506158,0.0500642,0.0255838,0.0963833,13,30,326.462,1,2
12452466609042891,12452466701359137,0.0201731,0.0200693,0.0514548,0.0500687,0.0206884,0.0923162,13,30,326.462,1,2
